id,screen_id,name,format,placement,installation,owner_id,owner,city,address,lat,lon,width_mm,height_mm,width_px,height_px,phys_width_px,phys_height_px,sspProvider,sspTypes,minBid,ots,grp,meta_format,estimated_ots,interpolated_ots,ssp_ots,image_url,image_preview
258885,MSK080S,"МСК, Виктория, 1 этаж, 86"" BOE, MSK080S",OTHER,INDOOR,STATIC,674,Sunlight Indoor,Москва,"ТЦ «Виктория», ул. Адмирала Лазарева, 2",55.54708575,37.54327835,1056,1895,1440,2560,1440,2560,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",110,0,,OTHER,,,,https://play.ru.cityscreen.cloud/files/organizations/411/common/TTs_Viktoriia_2c3o3y.jpg,https://play.ru.cityscreen.cloud/files/organizations/411/common/TTs_Viktoriia_2c3o3y.thumbnail.jpg
258877,VDBB30193A1,VDBB30193A1,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,Владивосток,Красного Знамени пр-т 114 (кольцо 3-й Рабочей),43.12254722,131.9248583,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",2.325,52.00857158,8.62,BILLBOARD,10.81734229,52.00857158,43,https://images.russoutdoor.ru/panelFotos/308/3071726.jpg,https://images.russoutdoor.ru/panelFotos/308/3071726.jpg
258874,EKCF00527B1,EKCF00527B1,CITY_FORMAT,OUTDOOR,STATIC,42,Russ Outdoor,Екатеринбург,"Розы Люксембург ул.  52 / ост. ""Сандуновские бани""",56.82802944,60.61348472,640,880,640,880,640,880,RUSS_OUTDOOR,"RTB,OPEN_RTB",0.8,7.349619325,0.14,CITY_FORMAT,7.349619325,,2,https://images.russoutdoor.ru/panelFotos/305/3049152.jpg,https://images.russoutdoor.ru/panelFotos/305/3049152.jpg
258870,726A,МКАД_18+650_внешняя_А,SUPERSITE,OUTDOOR,STATIC,22,Мособлреклама,Ленинский городской округ,"МКАД 018км 650м внешняя сторона, сторона А от Каширского шоссе к Новорязанскому шоссе",55.62203,37.791843,15000,5000,1440,480,1440,480,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",2.497,56.25016478,,SUPERSITE,56.25016478,,,https://play.ru.cityscreen.cloud/files/organizations/73/common/MKAD_018_650_A1_8q1h7i.jpg,https://play.ru.cityscreen.cloud/files/organizations/73/common/MKAD_018_650_A1_8q1h7i.thumbnail.jpg
258866,119,abaya_tlendieva_sv,OTHER,OUTDOOR,STATIC,916,Creative City,Алматы,Almaty Абая - Тлендиева,43.2366815,76.8765936,3520,2560,880,640,880,640,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",21.78,0,,OTHER,,,,https://accounting.programmatic-engine.ru/storage/players/December2024/gE00pZsclCUovO9cpZ9N.jpg,https://accounting.programmatic-engine.ru/storage/players/December2024/gE00pZsclCUovO9cpZ9N.jpg
258865,116,abaya_gagarina_rp_v,OTHER,OUTDOOR,STATIC,916,Creative City,Алматы,"Almaty Абая – Гагарина, рп",43.2387983,76.8950289,3520,2560,880,640,880,640,CONTEXT,"GUARANTEED,RTB,FLEX_GUARANTEED,OPEN_RTB",21.78,0,,OTHER,,,,https://accounting.programmatic-engine.ru/storage/players/December2024/4xQnunPyRmx4CLrNeO71.jpg,https://accounting.programmatic-engine.ru/storage/players/December2024/4xQnunPyRmx4CLrNeO71.jpg
258849,NXBB50011A,NXBB50011A,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,городской округ Саров,"Саров, ул. Строителя Захарова, в районе дома 18 по проспекту Музрукова",54.93054,43.33119,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",1.8,18.02549448,0,BILLBOARD,5.10545467,18.02549448,0,https://images.russoutdoor.ru/panelFotos/308/3070872.jpg,https://images.russoutdoor.ru/panelFotos/308/3070872.jpg
258848,NXBB50011B,NXBB50011B,BILLBOARD,OUTDOOR,STATIC,42,Russ Outdoor,городской округ Саров,"Саров, ул. Строителя Захарова, в районе дома 18 по проспекту Музрукова",54.93054,43.33119,1440,720,1440,720,1440,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",1.14,22.16345155,0,BILLBOARD,4.981351632,22.16345155,0,https://images.russoutdoor.ru/panelFotos/308/3070871.jpg,https://images.russoutdoor.ru/panelFotos/308/3070871.jpg
258847,NNRB50019A,NNRB50019A,CITY_BOARD,OUTDOOR,STATIC,42,Russ Outdoor,Нижний Новгород,"Родионова ул., д. 4",56.3215075,44.04307927,960,720,960,720,960,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",2.52,49.28595568,2.38,CITY_BOARD,10.24412971,49.28595568,24,https://images.russoutdoor.ru/panelFotos/308/3070731.jpg,https://images.russoutdoor.ru/panelFotos/308/3070731.jpg
258846,NNRB50019B,NNRB50019B,CITY_BOARD,OUTDOOR,STATIC,42,Russ Outdoor,Нижний Новгород,"Родионова ул., д. 4",56.3215075,44.04307927,960,720,960,720,960,720,RUSS_OUTDOOR,"RTB,OPEN_RTB",2.52,49.25483947,2.38,CITY_BOARD,10.2441358,49.25483947,24,https://images.russoutdoor.ru/panelFotos/308/3070730.jpg,https://images.russoutdoor.ru/panelFotos/308/3070730.jpg
